"Step","rloo_run3 - train/total_loss","rloo_run3 - train/total_loss__MIN","rloo_run3 - train/total_loss__MAX"
"0","-44.5531812361296","-44.5531812361296","-44.5531812361296"
"1","15.684773475486509","15.684773475486509","15.684773475486509"
"2","-31.14205924129419","-31.14205924129419","-31.14205924129419"
"3","12.256237117342607","12.256237117342607","12.256237117342607"
"4","-11.335603129784431","-11.335603129784431","-11.335603129784431"
"5","-13.332123858956038","-13.332123858956038","-13.332123858956038"
"6","22.223477397186798","22.223477397186798","22.223477397186798"
"7","-17.09214024117864","-17.09214024117864","-17.09214024117864"
"8","7.555333389367661","7.555333389367661","7.555333389367661"
"9","-75.86291592456655","-75.86291592456655","-75.86291592456655"
"10","-8.806335848534218","-8.806335848534218","-8.806335848534218"
"11","-17.82148514661276","-17.82148514661276","-17.82148514661276"
"12","40.130860679066245","40.130860679066245","40.130860679066245"
"13","-17.554797488741315","-17.554797488741315","-17.554797488741315"
"14","-5.979128959093941","-5.979128959093941","-5.979128959093941"
"15","-20.265251652293955","-20.265251652293955","-20.265251652293955"
"16","-33.78365995263994","-33.78365995263994","-33.78365995263994"
"17","4.933731429006002","4.933731429006002","4.933731429006002"
"18","-1.3542601699064107","-1.3542601699064107","-1.3542601699064107"
"19","-36.69465397769818","-36.69465397769818","-36.69465397769818"
"20","-17.321312347863568","-17.321312347863568","-17.321312347863568"
"21","-34.586618462806655","-34.586618462806655","-34.586618462806655"
"22","-4.872470108868583","-4.872470108868583","-4.872470108868583"
"23","-52.04558618870942","-52.04558618870942","-52.04558618870942"
"24","-1.4115205036760017","-1.4115205036760017","-1.4115205036760017"
"25","-12.42512524248923","-12.42512524248923","-12.42512524248923"
"26","-4.1977667516712245","-4.1977667516712245","-4.1977667516712245"
"27","-26.66370575080873","-26.66370575080873","-26.66370575080873"
"28","-6.870664308149571","-6.870664308149571","-6.870664308149571"
"29","18.02314080277938","18.02314080277938","18.02314080277938"
"30","-7.8748480897411355","-7.8748480897411355","-7.8748480897411355"
"31","-29.94392504402822","-29.94392504402822","-29.94392504402822"
"32","-12.436023045183902","-12.436023045183902","-12.436023045183902"
"33","-2.5839772170329525","-2.5839772170329525","-2.5839772170329525"
"34","-28.178674944141676","-28.178674944141676","-28.178674944141676"
"35","4.430048107193215","4.430048107193215","4.430048107193215"
"36","17.360841882074965","17.360841882074965","17.360841882074965"
"37","-5.715017028654984","-5.715017028654984","-5.715017028654984"
"38","-26.08580084775167","-26.08580084775167","-26.08580084775167"
"39","-4.227166470124075","-4.227166470124075","-4.227166470124075"
"40","-3.8292764835987327","-3.8292764835987327","-3.8292764835987327"
"41","21.224620275668713","21.224620275668713","21.224620275668713"
"42","-16.64647368437545","-16.64647368437545","-16.64647368437545"
"43","0.6724371437339869","0.6724371437339869","0.6724371437339869"
"44","-2.6398144631948526","-2.6398144631948526","-2.6398144631948526"
"45","-34.864022643696444","-34.864022643696444","-34.864022643696444"
"46","-29.098940930487515","-29.098940930487515","-29.098940930487515"
"47","-55.90109598485651","-55.90109598485651","-55.90109598485651"
"48","9.041271867259638","9.041271867259638","9.041271867259638"
"49","-7.3848621357137745","-7.3848621357137745","-7.3848621357137745"
"50","-39.87202317185438","-39.87202317185438","-39.87202317185438"
"51","-26.01506575500025","-26.01506575500025","-26.01506575500025"
"52","-8.998936630576281","-8.998936630576281","-8.998936630576281"
"53","-12.940351111778","-12.940351111778","-12.940351111778"
"54","-5.260536245595176","-5.260536245595176","-5.260536245595176"
"55","-9.3913927620315","-9.3913927620315","-9.3913927620315"
"56","-9.226754087101654","-9.226754087101654","-9.226754087101654"
"57","-2.1669420641255783","-2.1669420641255783","-2.1669420641255783"
"58","2.7640809799813724","2.7640809799813724","2.7640809799813724"
"59","-19.53365940881031","-19.53365940881031","-19.53365940881031"
"60","-3.890796761823367","-3.890796761823367","-3.890796761823367"
"61","-24.918691988019418","-24.918691988019418","-24.918691988019418"
"62","-21.338048341550348","-21.338048341550348","-21.338048341550348"
"63","-3.0784932763463075","-3.0784932763463075","-3.0784932763463075"
"64","-25.637015301704196","-25.637015301704196","-25.637015301704196"
"65","-7.187077831609713","-7.187077831609713","-7.187077831609713"
"66","-9.88177404473754","-9.88177404473754","-9.88177404473754"
"67","9.251578581483955","9.251578581483955","9.251578581483955"
"68","-11.698791978696136","-11.698791978696136","-11.698791978696136"
"69","-13.27567409639596","-13.27567409639596","-13.27567409639596"
"70","9.481599938830186","9.481599938830186","9.481599938830186"
"71","-21.063413508048143","-21.063413508048143","-21.063413508048143"
"72","18.46002607428727","18.46002607428727","18.46002607428727"
"73","-5.108727279398408","-5.108727279398408","-5.108727279398408"
"74","3.6293363135982872","3.6293363135982872","3.6293363135982872"
"75","16.054498563892594","16.054498563892594","16.054498563892594"
"76","-15.296396402632126","-15.296396402632126","-15.296396402632126"
"77","1.8588179918842798","1.8588179918842798","1.8588179918842798"
"78","-12.265152465578467","-12.265152465578467","-12.265152465578467"
"79","-4.998267996204049","-4.998267996204049","-4.998267996204049"
"80","15.07213828395561","15.07213828395561","15.07213828395561"
"81","-7.113327701234084","-7.113327701234084","-7.113327701234084"
"82","-9.890732618407128","-9.890732618407128","-9.890732618407128"
"83","-11.215508848425998","-11.215508848425998","-11.215508848425998"
"84","-18.36953197090861","-18.36953197090861","-18.36953197090861"
"85","-4.420350176353168","-4.420350176353168","-4.420350176353168"
"86","-7.437457604552947","-7.437457604552947","-7.437457604552947"
"87","-30.36286917938014","-30.36286917938014","-30.36286917938014"
"88","-20.19709742642226","-20.19709742642226","-20.19709742642226"
"89","-6.552885007460645","-6.552885007460645","-6.552885007460645"
"90","-8.850634146266202","-8.850634146266202","-8.850634146266202"
"91","-8.03901866751039","-8.03901866751039","-8.03901866751039"
"92","-3.8523899783549496","-3.8523899783549496","-3.8523899783549496"
"93","-9.857850973804489","-9.857850973804489","-9.857850973804489"
"94","-7.352528660374446","-7.352528660374446","-7.352528660374446"
"95","-14.86117403634853","-14.86117403634853","-14.86117403634853"
"96","-2.9860609087436387","-2.9860609087436387","-2.9860609087436387"
"97","19.0078942907885","19.0078942907885","19.0078942907885"
