"Step","rloo_run3 - train/weight_mean","rloo_run3 - train/weight_mean__MIN","rloo_run3 - train/weight_mean__MAX"
"0","2.510954756522551","2.510954756522551","2.510954756522551"
"1","2.664624521508813","2.664624521508813","2.664624521508813"
"2","2.580374382203445","2.580374382203445","2.580374382203445"
"3","2.769646596396342","2.769646596396342","2.769646596396342"
"4","3.1293923682533205","3.1293923682533205","3.1293923682533205"
"5","2.462200815905817","2.462200815905817","2.462200815905817"
"6","2.7357362324837595","2.7357362324837595","2.7357362324837595"
"7","2.2643219179008156","2.2643219179008156","2.2643219179008156"
"8","2.8502894134726375","2.8502894134726375","2.8502894134726375"
"9","2.7924858946353197","2.7924858946353197","2.7924858946353197"
"10","2.6311988746747375","2.6311988746747375","2.6311988746747375"
"11","2.7785869198851287","2.7785869198851287","2.7785869198851287"
"12","2.6637156340293586","2.6637156340293586","2.6637156340293586"
"13","3.210559225641191","3.210559225641191","3.210559225641191"
"14","2.588322448078543","2.588322448078543","2.588322448078543"
"15","1.9181653689593077","1.9181653689593077","1.9181653689593077"
"16","2.6914334127213806","2.6914334127213806","2.6914334127213806"
"17","2.1244832447264344","2.1244832447264344","2.1244832447264344"
"18","2.693041965132579","2.693041965132579","2.693041965132579"
"19","2.3828790211118758","2.3828790211118758","2.3828790211118758"
"20","2.9012491861358285","2.9012491861358285","2.9012491861358285"
"21","2.9429927663877606","2.9429927663877606","2.9429927663877606"
"22","2.624177924124524","2.624177924124524","2.624177924124524"
"23","2.4964776874985546","2.4964776874985546","2.4964776874985546"
"24","2.713382689282298","2.713382689282298","2.713382689282298"
"25","2.070815332699567","2.070815332699567","2.070815332699567"
"26","2.38301755907014","2.38301755907014","2.38301755907014"
"27","2.4046605362091213","2.4046605362091213","2.4046605362091213"
"28","2.341460602823645","2.341460602823645","2.341460602823645"
"29","2.4545727411750704","2.4545727411750704","2.4545727411750704"
"30","2.8493924404028803","2.8493924404028803","2.8493924404028803"
"31","2.501151456264779","2.501151456264779","2.501151456264779"
"32","2.9480240400880575","2.9480240400880575","2.9480240400880575"
"33","2.1391190085560083","2.1391190085560083","2.1391190085560083"
"34","2.191436727065593","2.191436727065593","2.191436727065593"
"35","2.181659090798348","2.181659090798348","2.181659090798348"
"36","2.085283446358517","2.085283446358517","2.085283446358517"
"37","2.119080074131489","2.119080074131489","2.119080074131489"
"38","2.313542621443048","2.313542621443048","2.313542621443048"
"39","2.479073068127036","2.479073068127036","2.479073068127036"
"40","2.157035069540143","2.157035069540143","2.157035069540143"
"41","2.393397783394903","2.393397783394903","2.393397783394903"
"42","2.9044441811274737","2.9044441811274737","2.9044441811274737"
"43","2.4414146095514297","2.4414146095514297","2.4414146095514297"
"44","2.18782741506584","2.18782741506584","2.18782741506584"
"45","2.1209796860348433","2.1209796860348433","2.1209796860348433"
"46","3.135418066289276","3.135418066289276","3.135418066289276"
"47","2.8015285255387425","2.8015285255387425","2.8015285255387425"
"48","2.2948335940018296","2.2948335940018296","2.2948335940018296"
"49","2.258337501436472","2.258337501436472","2.258337501436472"
"50","1.9591955007053912","1.9591955007053912","1.9591955007053912"
"51","1.7907393262721598","1.7907393262721598","1.7907393262721598"
"52","2.1823590267449617","2.1823590267449617","2.1823590267449617"
"53","2.4790228265337646","2.4790228265337646","2.4790228265337646"
"54","2.165773135377094","2.165773135377094","2.165773135377094"
"55","1.8607371875550598","1.8607371875550598","1.8607371875550598"
"56","2.174903528066352","2.174903528066352","2.174903528066352"
"57","2.051685559330508","2.051685559330508","2.051685559330508"
"58","2.07324399985373","2.07324399985373","2.07324399985373"
"59","1.7367437358479947","1.7367437358479947","1.7367437358479947"
"60","2.469978275592439","2.469978275592439","2.469978275592439"
"61","1.9544426223728806","1.9544426223728806","1.9544426223728806"
"62","1.637571997474879","1.637571997474879","1.637571997474879"
"63","1.7562930730637163","1.7562930730637163","1.7562930730637163"
"64","2.3152699847705662","2.3152699847705662","2.3152699847705662"
"65","2.1625443331431597","2.1625443331431597","2.1625443331431597"
"66","1.7295540669001639","1.7295540669001639","1.7295540669001639"
"67","1.7481914332602173","1.7481914332602173","1.7481914332602173"
"68","1.9713970683515072","1.9713970683515072","1.9713970683515072"
"69","1.5177293352317065","1.5177293352317065","1.5177293352317065"
"70","2.5702957294415683","2.5702957294415683","2.5702957294415683"
"71","2.5858903005719185","2.5858903005719185","2.5858903005719185"
"72","2.115480561275035","2.115480561275035","2.115480561275035"
"73","1.8949258064385504","1.8949258064385504","1.8949258064385504"
"74","1.897891387809068","1.897891387809068","1.897891387809068"
"75","1.6236678618006408","1.6236678618006408","1.6236678618006408"
"76","2.1958041256293654","2.1958041256293654","2.1958041256293654"
"77","2.36761526344344","2.36761526344344","2.36761526344344"
"78","2.2548245349898934","2.2548245349898934","2.2548245349898934"
"79","1.9224723908118904","1.9224723908118904","1.9224723908118904"
"80","2.3337774206884205","2.3337774206884205","2.3337774206884205"
"81","1.842542961705476","1.842542961705476","1.842542961705476"
"82","1.7217855188064277","1.7217855188064277","1.7217855188064277"
"83","1.8219603188335896","1.8219603188335896","1.8219603188335896"
"84","1.5714584426023066","1.5714584426023066","1.5714584426023066"
"85","1.7114386467728764","1.7114386467728764","1.7114386467728764"
"86","1.7529415534809232","1.7529415534809232","1.7529415534809232"
"87","1.706159162800759","1.706159162800759","1.706159162800759"
"88","1.8605748431291431","1.8605748431291431","1.8605748431291431"
"89","1.7401267755776644","1.7401267755776644","1.7401267755776644"
"90","1.99907270912081","1.99907270912081","1.99907270912081"
"91","2.042871145531535","2.042871145531535","2.042871145531535"
"92","1.8305886625312269","1.8305886625312269","1.8305886625312269"
"93","1.7029167629079893","1.7029167629079893","1.7029167629079893"
"94","1.6386287205386907","1.6386287205386907","1.6386287205386907"
"95","1.959589525591582","1.959589525591582","1.959589525591582"
"96","1.5513013903982937","1.5513013903982937","1.5513013903982937"
"97","2.2259720168076456","2.2259720168076456","2.2259720168076456"
