"Step","rloo_run3 - sampling/reward_mean","rloo_run3 - sampling/reward_mean__MIN","rloo_run3 - sampling/reward_mean__MAX"
"0","0.3314453125","0.3314453125","0.3314453125"
"1","0.31396484375","0.31396484375","0.31396484375"
"2","0.3341796875","0.3341796875","0.3341796875"
"3","0.31630859375","0.31630859375","0.31630859375"
"4","0.31523437499999996","0.31523437499999996","0.31523437499999996"
"5","0.35458984375","0.35458984375","0.35458984375"
"6","0.35429687499999996","0.35429687499999996","0.35429687499999996"
"7","0.328515625","0.328515625","0.328515625"
"8","0.36406249999999996","0.36406249999999996","0.36406249999999996"
"9","0.37236328124999996","0.37236328124999996","0.37236328124999996"
"10","0.40107421875","0.40107421875","0.40107421875"
"11","0.3861328125","0.3861328125","0.3861328125"
"12","0.38984374999999993","0.38984374999999993","0.38984374999999993"
"13","0.40039062499999994","0.40039062499999994","0.40039062499999994"
"14","0.37421874999999993","0.37421874999999993","0.37421874999999993"
"15","0.39482421874999996","0.39482421874999996","0.39482421874999996"
"16","0.43818359374999993","0.43818359374999993","0.43818359374999993"
"17","0.38349609375","0.38349609375","0.38349609375"
"18","0.404296875","0.404296875","0.404296875"
"19","0.4454101562499999","0.4454101562499999","0.4454101562499999"
"20","0.44843749999999993","0.44843749999999993","0.44843749999999993"
"21","0.40068359374999996","0.40068359374999996","0.40068359374999996"
"22","0.47177734374999997","0.47177734374999997","0.47177734374999997"
"23","0.43427734374999993","0.43427734374999993","0.43427734374999993"
"24","0.44326171875","0.44326171875","0.44326171875"
"25","0.43085937499999993","0.43085937499999993","0.43085937499999993"
"26","0.46201171874999997","0.46201171874999997","0.46201171874999997"
"27","0.44541015624999997","0.44541015624999997","0.44541015624999997"
"28","0.4535156249999999","0.4535156249999999","0.4535156249999999"
"29","0.48583984374999994","0.48583984374999994","0.48583984374999994"
"30","0.42343749999999997","0.42343749999999997","0.42343749999999997"
"31","0.47265624999999994","0.47265624999999994","0.47265624999999994"
"32","0.4541015625","0.4541015625","0.4541015625"
"33","0.43681640624999996","0.43681640624999996","0.43681640624999996"
"34","0.43466796874999997","0.43466796874999997","0.43466796874999997"
"35","0.44462890624999996","0.44462890624999996","0.44462890624999996"
"36","0.44482421875","0.44482421875","0.44482421875"
"37","0.4541015625","0.4541015625","0.4541015625"
"38","0.4584960937499999","0.4584960937499999","0.4584960937499999"
"39","0.50048828125","0.50048828125","0.50048828125"
"40","0.47636718749999996","0.47636718749999996","0.47636718749999996"
"41","0.43330078124999993","0.43330078124999993","0.43330078124999993"
"42","0.4907226562499999","0.4907226562499999","0.4907226562499999"
"43","0.40771484375","0.40771484375","0.40771484375"
"44","0.5796874999999999","0.5796874999999999","0.5796874999999999"
"45","0.576953125","0.576953125","0.576953125"
"46","0.575","0.575","0.575"
"47","0.5263671875","0.5263671875","0.5263671875"
"48","0.4682617187499999","0.4682617187499999","0.4682617187499999"
"49","0.44921874999999994","0.44921874999999994","0.44921874999999994"
"50","0.47324218749999997","0.47324218749999997","0.47324218749999997"
"51","0.5010742187499999","0.5010742187499999","0.5010742187499999"
"52","0.45166015624999994","0.45166015624999994","0.45166015624999994"
"53","0.5283203125","0.5283203125","0.5283203125"
"54","0.52822265625","0.52822265625","0.52822265625"
"55","0.50576171875","0.50576171875","0.50576171875"
"56","0.499609375","0.499609375","0.499609375"
"57","0.49345703125","0.49345703125","0.49345703125"
"58","0.5231445312499999","0.5231445312499999","0.5231445312499999"
"59","0.51982421875","0.51982421875","0.51982421875"
"60","0.47382812499999993","0.47382812499999993","0.47382812499999993"
"61","0.55595703125","0.55595703125","0.55595703125"
"62","0.5095703125","0.5095703125","0.5095703125"
"63","0.502734375","0.502734375","0.502734375"
"64","0.5103515624999999","0.5103515624999999","0.5103515624999999"
"65","0.5349609375","0.5349609375","0.5349609375"
"66","0.61611328125","0.61611328125","0.61611328125"
"67","0.5439453125","0.5439453125","0.5439453125"
"68","0.57607421875","0.57607421875","0.57607421875"
"69","0.4998046875","0.4998046875","0.4998046875"
"70","0.49111328125","0.49111328125","0.49111328125"
"71","0.48173828124999996","0.48173828124999996","0.48173828124999996"
"72","0.5084960937499999","0.5084960937499999","0.5084960937499999"
"73","0.52978515625","0.52978515625","0.52978515625"
"74","0.50302734375","0.50302734375","0.50302734375"
"75","0.55791015625","0.55791015625","0.55791015625"
"76","0.5255859375","0.5255859375","0.5255859375"
"77","0.51416015625","0.51416015625","0.51416015625"
"78","0.5798828125","0.5798828125","0.5798828125"
"79","0.5001953124999999","0.5001953124999999","0.5001953124999999"
"80","0.54033203125","0.54033203125","0.54033203125"
"81","0.4603515625","0.4603515625","0.4603515625"
"82","0.5460937499999999","0.5460937499999999","0.5460937499999999"
"83","0.5187499999999999","0.5187499999999999","0.5187499999999999"
"84","0.4982421875","0.4982421875","0.4982421875"
"85","0.48808593749999996","0.48808593749999996","0.48808593749999996"
"86","0.46582031249999994","0.46582031249999994","0.46582031249999994"
"87","0.5274414062499999","0.5274414062499999","0.5274414062499999"
"88","0.49921874999999993","0.49921874999999993","0.49921874999999993"
"89","0.55556640625","0.55556640625","0.55556640625"
"90","0.46904296874999996","0.46904296874999996","0.46904296874999996"
"91","0.55859375","0.55859375","0.55859375"
"92","0.51396484375","0.51396484375","0.51396484375"
"93","0.5400390625","0.5400390625","0.5400390625"
"94","0.49150390624999996","0.49150390624999996","0.49150390624999996"
"95","0.50673828125","0.50673828125","0.50673828125"
"96","0.48720703125","0.48720703125","0.48720703125"
"97","0.48603515625","0.48603515625","0.48603515625"
